	order_id	driver_id	client_id	dttm	date	arrived_distance	arrived_duration	distance	duration	from_latitude	from_longitude	to_latitude	to_longitude	mark	client_rate_ride	client_rides_cnt	driver_rides_cnt	comment
0	055bbcb607eb559a24cf90d12b3cbb3c	7992bc6f91140ad470b8a4a3f04cfe2a	5c91c812377620a56b213863ec8ff882	2021-03-29 15:00:00	2021-03-29	2060	6	3.6	7.7	55.74982373	37.50327142	55.74948885707028	37.538377493619926	Toyota		19.0	11.0	Водитель подъехал не по указанной точке. По ходу поездки он высадил меняться дороге не окончив поездку. Поругавшись со мной. Я беременная и сильно нервничала. Ужасное поведение! Требую связать срочно со мной. Вернуть деньги за неосуществлённый поездку и Выплата за мой моральный и физический ущерб!!!!
1	052bbc00cdf86b0977905bda45b13f69	3bb61fde1030798bb2b7c488e6df2584	3420129bb3d5f6c83efe2c1b53547faf	2021-03-29 18:30:00	2021-03-29	240	1	1.1	3.4	55.7647392	37.7053227	55.764214	37.717832	Hyundai	5.0	1.0	161.0	отличный водитель
2	ed40f851b54276961ef531756ea3f15e	8bd08eaa18ec43bb4f562cdcc62fed82	596c3cbbcee903e07797a563ec9bdff8	2021-03-29 15:30:00	2021-03-29	1090	3	13.6	24.2	55.810783	37.838106	55.781799	37.703861	Hyundai	5.0	61.0	326.0	ужасно вëл автомобиль. пока я ехала, я стала зелëного цвета. что за безобразие? никакой безопасности. 
3	7808acf7fd00c799c246f0e9e2c57d8f	340e1e3008377097f17498f5bff057e8	92b9cabb28fce0bb81e439afb7bb54d2	2021-03-29 18:15:00	2021-03-29	190	1	6.3	19.4	55.68508670549039	37.539785653352745	55.64758301	37.51771927	Hyundai	5.0	1.0	374.0	Очень хороший водитель!
4	d8405a3bca3694e376721df03fcd4c4e	21d41ebcf96dd4b63634ff56cea524ad	fdc15cff7410b5aeb27155e1a4a2c104	2021-03-29 19:30:00	2021-03-29	120	1	2.5	6.4	55.85815048	37.50878906	55.850495	37.534501	Volkswagen	5.0	37.0	119.0	спасибо за поездку
5	83c696a2b13b3b363a67c64fa7fe7057	98700258bc525a63ab5dc02bcfd05fac	aa7ac042c03af3e2e62ce758c50cecf7	2021-03-29 23:30:00	2021-03-29	120	1	16.4	21.5	55.67713928	37.79953003	55.70410156	37.90576935	Nissan	5.0	3.0	131.0	Спасибо большое за приятную поездку! Наша мама свободна??
6	ad9a2dc196c819d6146e20f1f0914027	56227eac442f30e68a22222d941bdf72	2ebaaddb196a551eb763c7f242b08442	2021-03-29 09:30:00	2021-03-29	350	2	1.7	4.4	55.61070485	37.60520993	55.615277	37.618288	Hyundai		9.0	221.0	Водитель разговаривал по телефону, переписывался в WhatsApp, не следил за дорогой, был без маски. Это опасно!
7	15db193d9fb44629534f36b699421cca	aeaddc586987ae9a18a95cd55cdb7e2c	4588170e6e6898e1e5c4911256f47948	2021-03-29 19:15:00	2021-03-29	540	1	32.8	72.8	55.678712616422956	37.697903215885155	55.85071182	37.49998093	Mercedes-Benz	5.0	9.0	261.0	1)Водитель играл в «шашки» на дороге и игрался газ тормоз газ тормоз
8	066d60b35427b98eec800181fc4a72b5	7c66f8fc81951fe60b232f744d0b3e0a	51300004b0efdbf82bfa01cb11dba9e3	2021-03-29 18:45:00	2021-03-29	160	1	1.6	5.4	55.76029799999999	37.833947	55.76224300000001	37.822402	Skoda	5.0	3.0	93.0	Помощь и забота; Водитель вежливый; Водитель знает город; Отлично водит; Чистота машины
9	02db11a14ed3288e958e21018872f894	24ad26d254b3f5276177753402e6d604	3f4866f3fd0d5013afdb412ac94c847c	2021-03-29 17:30:00	2021-03-29	80	1	27.1	63.7	55.70719	37.68975	55.880793	37.576942	Kia			22.0	Коллега лучший !!! 
